Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C122,10u,C_1206_3216Metric,-164.625000,-55.800000,0.000000,bottom
C123,10u,C_1206_3216Metric,-155.525000,-62.625000,0.000000,bottom
C124,10u,C_1206_3216Metric,-164.300000,-128.275000,0.000000,bottom
C125,10u,C_1206_3216Metric,-184.450000,-111.700000,180.000000,bottom
C126,10u,C_1206_3216Metric,-179.575000,-76.600000,180.000000,bottom
C127,10u,C_1206_3216Metric,-187.700000,-123.075000,0.000000,bottom
C128,10u,C_1206_3216Metric,-135.050000,-84.075000,180.000000,bottom
C129,10u,C_1206_3216Metric,-173.725000,-49.950000,180.000000,bottom
C130,10u,C_1206_3216Metric,-194.200000,-82.775000,0.000000,bottom
C131,10u,C_1206_3216Metric,-187.700000,-73.350000,0.000000,bottom
C132,10u,C_1206_3216Metric,-179.250000,-129.900000,180.000000,bottom
C133,10u,C_1206_3216Metric,-194.200000,-124.050000,0.000000,bottom
C134,10u,C_1206_3216Metric,-210.000000,-101.250000,180.000000,bottom
C135,10u,C_1206_3216Metric,-139.275000,-73.675000,90.000000,bottom
C136,10u,C_1206_3216Metric,-202.650000,-119.825000,180.000000,bottom
C137,10u,C_1206_3216Metric,-213.250000,-112.000000,0.000000,bottom
C1,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.500000,-61.325000,90.000000,top
C2,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,201.350000,-54.825000,270.000000,top
C3,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.500000,-82.125000,90.000000,top
C4,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,201.350000,-75.625000,270.000000,top
C5,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,210.450000,-61.325000,90.000000,top
C6,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,199.400000,-54.825000,270.000000,top
C7,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,210.450000,-82.125000,90.000000,top
C8,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,199.400000,-75.625000,270.000000,top
C9,1n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,211.250000,-111.250000,0.000000,top
C10,680p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,211.250000,-108.250000,0.000000,top
C11,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,199.000000,-111.250000,90.000000,top
C12,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,210.750000,-105.250000,270.000000,top
C13,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,200.750000,-111.250000,90.000000,top
C14,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.750000,-105.500000,270.000000,top
C15,opt,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.500000,-115.250000,90.000000,top
C16,opt,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,202.500000,-115.250000,90.000000,top
C17,opt,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,205.500000,-119.000000,180.000000,top
C18,47u,C_1210_3225Metric_Pad1.42x2.65mm_HandSolder,200.500000,-120.500000,180.000000,top
C19,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,202.250000,-124.000000,270.000000,top
C20,2u2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,209.000000,-124.000000,270.000000,top
C21,2u2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,214.250000,-116.000000,90.000000,top
C22,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,209.750000,-121.250000,0.000000,top
C23,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,209.750000,-119.500000,0.000000,top
C24,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,209.250000,-128.500000,0.000000,top
C25,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,209.250000,-130.250000,0.000000,top
C26,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,178.600000,-64.250000,90.000000,top
C27,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,171.125000,-62.625000,180.000000,top
C28,10p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,186.075000,-52.550000,180.000000,top
C29,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.575000,-56.125000,90.000000,top
C30,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,191.925000,-55.475000,0.000000,top
C31,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,181.525000,-59.050000,270.000000,top
C32,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.050000,-51.900000,90.000000,top
C33,10p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,186.075000,-94.150000,180.000000,top
